,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,amplitude error,separation,star1 flux,star2 flux
0,5,5,5,9.8,4.925952219805256,5.0520815936658785,0.045286640841907144,0.04537417013007564,0.05697817979919754,4.800000000000001,1000,1000
1,5,5,5,9.8,5.079031450960664,4.9995928744354945,0.04932801154353989,0.0487957871743984,0.0616432470036205,4.800000000000001,1000,1000
2,5,5,5,9.8,4.961161779080624,5.044139627092186,0.04980715595624208,0.04972277795449968,0.06219553482245074,4.800000000000001,1000,1000
3,5,5,5,9.8,5.018120506493595,4.955157206639326,0.04284058580529666,0.04282075484991433,0.05315681040871425,4.800000000000001,1000,1000
4,5,5,5,9.8,5.028064673279017,5.0830304090331815,0.0437416428315636,0.043461737475697905,0.054823451907620564,4.800000000000001,1000,1000
5,5,5,5,9.8,5.001785014555555,4.942583217794292,0.04358097695997034,0.043136880861136484,0.054584193007284336,4.800000000000001,1000,1000
6,5,5,5,9.8,4.960452762561852,4.951870053823909,0.04530389650795288,0.045755635619192034,0.05666562905527629,4.800000000000001,1000,1000
7,5,5,5,9.8,4.984481595968156,5.015461729636831,0.052796667520425264,0.051770468542245845,0.066147779290105,4.800000000000001,1000,1000
8,5,5,5,9.8,5.043787355936351,5.001716972725694,0.049192650221254436,0.04802734981118085,0.060755015183549345,4.800000000000001,1000,1000
9,5,5,5,9.8,4.9774824938749695,5.031124907305011,0.05384640730177822,0.05344046878423526,0.06647006608555865,4.800000000000001,1000,1000
10,5,5,5,9.8,5.031378971639159,5.053554610720392,0.05439029039001405,0.05421920652877097,0.06760522013911632,4.800000000000001,1000,1000
11,5,5,5,9.8,4.929034362352934,4.997370655128992,0.049200107244312126,0.04849310977057954,0.06269341833539643,4.800000000000001,1000,1000
12,5,5,5,9.8,5.050545398919345,5.031059572799742,0.05531684576503592,0.056309506444376906,0.0700796139035779,4.800000000000001,1000,1000
13,5,5,5,9.8,4.884591090938794,5.027181338052145,0.04266656616788382,0.041893175413630725,0.05316265573891325,4.800000000000001,1000,1000
14,5,5,5,9.8,4.991840261911622,5.081945655546674,0.05028695402500037,0.04983698752368132,0.06307776091870403,4.800000000000001,1000,1000
15,5,5,5,9.8,5.0401773651307415,5.018457857253083,0.04747298709732295,0.04714388843357771,0.05919261999146523,4.800000000000001,1000,1000
16,5,5,5,9.8,4.964725747158015,4.998409943776347,0.048799918878753075,0.0482057938909179,0.060539519417963476,4.800000000000001,1000,1000
17,5,5,5,9.8,4.999141446740846,4.9983790767992335,0.052531375142047226,0.05228540241063896,0.06570904138567912,4.800000000000001,1000,1000
18,5,5,5,9.8,4.950599909777566,4.999737097520699,0.04840567259519535,0.04808008369948265,0.06053278890253775,4.800000000000001,1000,1000
19,5,5,5,9.8,4.926160700429386,4.987238406788638,0.05001049632085126,0.049196483120072125,0.06327824704438421,4.800000000000001,1000,1000
20,5,5,5,9.8,4.922514281179786,5.016458962819883,0.051485766284570286,0.05197070268339448,0.06478221932143163,4.800000000000001,1000,1000
21,5,5,5,9.8,5.004391631332475,4.9904645310629965,0.05651058051459507,0.056102521780888474,0.07064777082203098,4.800000000000001,1000,1000
22,5,5,5,9.8,4.991845429359881,4.948951132886002,0.0389526445427516,0.03924969174345674,0.04836229466543841,4.800000000000001,1000,1000
23,5,5,5,9.8,4.98761878157168,4.939098516521982,0.04990690936995565,0.04985332555162276,0.06205227116881495,4.800000000000001,1000,1000
24,5,5,5,9.8,4.953217949045285,5.00463327019581,0.046562937430203205,0.04679346379965179,0.05803716764656989,4.800000000000001,1000,1000
25,5,5,5,9.8,4.964724714155697,4.98165642501342,0.05272906984341838,0.052724939257385764,0.06605185577317849,4.800000000000001,1000,1000
26,5,5,5,9.8,5.075788638322975,4.989254893708869,0.04541201556368262,0.0444441142016974,0.05611147437673452,4.800000000000001,1000,1000
27,5,5,5,9.8,4.9869324809349,5.0529602432442084,0.05704665182643777,0.05698708495465016,0.07182295534656898,4.800000000000001,1000,1000
28,5,5,5,9.8,5.026585638643406,4.958366666406426,0.05977643926918336,0.05880450434183097,0.0745541015823363,4.800000000000001,1000,1000
29,5,5,5,9.8,4.996202082978425,4.977386501543149,0.04679939372849814,0.0463320806587164,0.05770897733534445,4.800000000000001,1000,1000
30,5,5,5,9.8,4.975402614267739,5.023402818089112,0.04304529155562972,0.04321412012382605,0.05429145452891136,4.800000000000001,1000,1000
31,5,5,5,9.8,5.020982579080324,5.034490112205209,0.053859778899013694,0.05411074004861806,0.06586620422554265,4.800000000000001,1000,1000
32,5,5,5,9.8,4.956765095914415,4.919905584998844,0.05546917989680899,0.05574296573131492,0.0698626300603721,4.800000000000001,1000,1000
33,5,5,5,9.8,4.907508963506206,5.063143172896166,0.05364952126281258,0.052663506713193385,0.06726072181163208,4.800000000000001,1000,1000
34,5,5,5,9.8,4.972045145957428,5.0030964370288,0.05414549372840871,0.0545106145776677,0.0674396113955235,4.800000000000001,1000,1000
35,5,5,5,9.8,4.999771466543966,4.9627028029498454,0.04847509711447649,0.047979079131906285,0.0607546362149518,4.800000000000001,1000,1000
36,5,5,5,9.8,4.95750042632957,4.95272294500795,0.05461017981368416,0.05378098281460787,0.06800991951696271,4.800000000000001,1000,1000
37,5,5,5,9.8,4.973252641490097,5.077312461474883,0.05109233728287922,0.05057036010807915,0.06382339211713339,4.800000000000001,1000,1000
38,5,5,5,9.8,5.002092406448957,4.938874009577845,0.048889462904670396,0.048603504418845145,0.0623813699089764,4.800000000000001,1000,1000
