,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,separation,star1 flux,star2 flux
0,5,5,5,10.0,4.98075126095731,4.990824610319274,0.009881463095282435,0.009900354245746751,5.0,1000,1600
1,5,5,5,10.0,4.996930915253441,4.999938772817517,0.009072008261601414,0.008971112836581885,5.0,1000,1600
2,5,5,5,10.0,4.992280917467455,5.009338486612859,0.00922549749148905,0.00931823668946699,5.0,1000,1600
3,5,5,5,10.0,5.002765234523583,4.99737497151728,0.009731959001983944,0.009834402596518124,5.0,1000,1600
4,5,5,5,10.0,5.00725041930791,5.00563687825234,0.009616682521903331,0.009732829435012583,5.0,1000,1600
5,5,5,5,10.0,4.9989622005374645,5.002359336558247,0.009565989337586135,0.00960473458184242,5.0,1000,1600
6,5,5,5,10.0,5.005723440553736,4.999875071960324,0.008977005583434923,0.009030114135410595,5.0,1000,1600
7,5,5,5,10.0,4.998148879106592,4.993154340267715,0.010068130330701934,0.009970622879754785,5.0,1000,1600
8,5,5,5,10.0,4.994714910473106,5.01125226756084,0.009084816878419133,0.009054331553837527,5.0,1000,1600
9,5,5,5,10.0,5.025697911118348,5.000464038042954,0.009811577271073377,0.009921788390523054,5.0,1000,1600
10,5,5,5,10.0,5.015646896976991,4.991511185463089,0.009175054311295625,0.009302445472570094,5.0,1000,1600
11,5,5,5,10.0,4.996600497058155,5.00127730585342,0.009174311528855627,0.008984149454039544,5.0,1000,1600
12,5,5,5,10.0,5.013384727698794,4.994587686202883,0.010244018042508048,0.010217118189301534,5.0,1000,1600
13,5,5,5,10.0,5.003399040287929,4.998623934683494,0.009532500856589774,0.009473597378037565,5.0,1000,1600
14,5,5,5,10.0,4.998852172050794,5.002002329522424,0.008966891306378866,0.008970387744853653,5.0,1000,1600
15,5,5,5,10.0,4.992744132394743,4.999878196125979,0.00928710027775357,0.009157200864464324,5.0,1000,1600
16,5,5,5,10.0,4.988588488461792,4.996508498792686,0.00876006250894437,0.008755585689085127,5.0,1000,1600
17,5,5,5,10.0,5.003969868516947,5.010321580496096,0.009205740254204694,0.009354851648635292,5.0,1000,1600
18,5,5,5,10.0,5.006252106335058,5.006026839783582,0.009506970149112576,0.009622486324585518,5.0,1000,1600
19,5,5,5,10.0,5.000734380491573,5.005926537045935,0.00998187676345819,0.010119639936632839,5.0,1000,1600
20,5,5,5,10.0,5.00915453269379,4.9916804066434555,0.008879198400290153,0.008936222289782414,5.0,1000,1600
21,5,5,5,10.0,5.002907804124658,5.007297980550508,0.008528638519925075,0.008405682629171901,5.0,1000,1600
22,5,5,5,10.0,5.006740963060844,4.983741755940546,0.009844401847060105,0.009766328780134847,5.0,1000,1600
23,5,5,5,10.0,5.008515535571009,4.996679159495078,0.009225322251742505,0.00927529371243191,5.0,1000,1600
24,5,5,5,10.0,4.986893098671353,5.014503871907684,0.00941961436192079,0.009421899786937514,5.0,1000,1600
25,5,5,5,10.0,4.994892713600123,4.992069383299741,0.009858254514607112,0.009863973682729737,5.0,1000,1600
26,5,5,5,10.0,4.990883848349,5.005690589031768,0.009353242335507111,0.009219202117940122,5.0,1000,1600
27,5,5,5,10.0,4.998532837649803,4.996325101337389,0.009563787425726101,0.009558973136018781,5.0,1000,1600
28,5,5,5,10.0,5.000253829076609,5.000378178114787,0.009199873756351045,0.009237281026590527,5.0,1000,1600
29,5,5,5,10.0,4.989093841406457,5.004297636973884,0.009423604545433383,0.009472529462236473,5.0,1000,1600
30,5,5,5,10.0,4.985053771689353,4.998696530774326,0.00903825725311218,0.009008814856971319,5.0,1000,1600
31,5,5,5,10.0,5.00589475964101,5.014387622619117,0.00934813394545388,0.009415883341172401,5.0,1000,1600
32,5,5,5,10.0,4.998543847047475,4.9933756168856105,0.009994145946221987,0.010042804933836687,5.0,1000,1600
33,5,5,5,10.0,4.991002306812381,5.0029593458223065,0.009610132095694989,0.009502625766278944,5.0,1000,1600
34,5,5,5,10.0,4.99302643086417,5.008569638342728,0.008890356461811886,0.009025138841583218,5.0,1000,1600
35,5,5,5,10.0,4.993874064485047,4.990327683635957,0.009893818820546895,0.009899093293133208,5.0,1000,1600
36,5,5,5,10.0,4.990780547343814,5.000135679430347,0.00932599725297128,0.009497726641027217,5.0,1000,1600
37,5,5,5,10.0,4.994672632623015,4.994532811097516,0.009328359430492211,0.00938994366446483,5.0,1000,1600
38,5,5,5,10.0,5.002901785958674,5.009318169506388,0.009544621555896372,0.009399817497907612,5.0,1000,1600
39,5,5,5,10.0,5.0153245727773275,4.9960902632505615,0.008568311753968697,0.008575063368531775,5.0,1000,1600
40,5,5,5,10.0,4.995897063224752,5.005297356003987,0.009085988446663565,0.009100571492376582,5.0,1000,1600
41,5,5,5,10.0,5.001935559828012,5.019218454315392,0.00892941664536832,0.00887205874580829,5.0,1000,1600
42,5,5,5,10.0,4.9984788949378895,4.993379468644956,0.009963139622547804,0.010062420356556063,5.0,1000,1600
43,5,5,5,10.0,4.996437761346013,4.998553386820178,0.008881492826924627,0.008934845263067244,5.0,1000,1600
44,5,5,5,10.0,5.004313660227283,4.999065252502647,0.009661347222435812,0.009733205011545199,5.0,1000,1600
45,5,5,5,10.0,4.998442624734222,4.992378631213477,0.010091220892797351,0.01008791697497021,5.0,1000,1600
46,5,5,5,10.0,4.995391225004835,5.000069022766045,0.009690220334850857,0.009598439505908623,5.0,1000,1600
47,5,5,5,10.0,4.99629978897331,5.001167528886269,0.009525537763532163,0.009699190039131875,5.0,1000,1600
