,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,separation,star1 flux,star2 flux
0,5,5,5,10.0,5.009290344817214,5.001225473169989,0.00906459087984026,0.009144102003620428,5.0,1000,1600
1,5,5,5,10.0,4.9965641325586745,5.005502444725928,0.008741180478070489,0.00878168981849818,5.0,1000,1600
2,5,5,5,10.0,5.004031808591605,4.998586560091849,0.008816133175309685,0.008892095244446795,5.0,1000,1600
3,5,5,5,10.0,4.988629599112839,5.005624373771003,0.008206050967445004,0.00823983704458093,5.0,1000,1600
4,5,5,5,10.0,5.000730701348573,5.005262659704353,0.009056244885460042,0.009022325386067918,5.0,1000,1600
5,5,5,5,10.0,5.01524747353865,5.004669023400773,0.008807061794670163,0.008679213666808235,5.0,1000,1600
6,5,5,5,10.0,5.002171521194038,4.997632887352587,0.009075628480465442,0.009033737955575875,5.0,1000,1600
7,5,5,5,10.0,5.000004542389977,4.994904713256161,0.008766419737837901,0.008863625200028185,5.0,1000,1600
8,5,5,5,10.0,4.995171966021066,5.003210068458387,0.008916793471127846,0.00895491250529527,5.0,1000,1600
9,5,5,5,10.0,5.009390794382324,4.9982017988157015,0.008428068840738994,0.008434381175361248,5.0,1000,1600
10,5,5,5,10.0,4.9920242332001346,5.000823670455902,0.008647340600016774,0.008641346161169109,5.0,1000,1600
11,5,5,5,10.0,4.986802763837301,4.984695514781124,0.008732358846927184,0.008771242222655599,5.0,1000,1600
12,5,5,5,10.0,5.003457921409137,5.004360053742126,0.008382226221555626,0.008382034137055985,5.0,1000,1600
13,5,5,5,10.0,4.993890386260942,5.006701834267691,0.00861978897983398,0.00854740768445632,5.0,1000,1600
14,5,5,5,10.0,4.998166485371205,4.991266858206519,0.007723754395580572,0.007810035792514442,5.0,1000,1600
15,5,5,5,10.0,5.015372261303798,4.998499309927287,0.007667290067830635,0.007591007457739228,5.0,1000,1600
16,5,5,5,10.0,4.992193979449385,4.993441813886729,0.008799173480941168,0.008796586497429069,5.0,1000,1600
17,5,5,5,10.0,4.992205284554473,4.998299436988933,0.008706288098766484,0.008713850575828,5.0,1000,1600
18,5,5,5,10.0,4.98982320321317,5.000142214462576,0.009090994589839073,0.009180306068149586,5.0,1000,1600
19,5,5,5,10.0,4.995603472309975,5.0117261529469985,0.008225146611117813,0.008240560157274944,5.0,1000,1600
20,5,5,5,10.0,4.980812578240806,4.9842398766267495,0.007956148073110864,0.008069630426009175,5.0,1000,1600
21,5,5,5,10.0,4.983659052706187,5.0033178457044265,0.008726326562813783,0.0087207623370805,5.0,1000,1600
22,5,5,5,10.0,5.008525326575166,4.992743371201213,0.008736112258903337,0.008705690234022699,5.0,1000,1600
23,5,5,5,10.0,5.0004082671729755,5.007176428205362,0.008296645225319298,0.008235371258027452,5.0,1000,1600
24,5,5,5,10.0,5.002712780285166,5.005654992275097,0.009006062319839489,0.009019934484486299,5.0,1000,1600
25,5,5,5,10.0,5.01450698379026,4.998326295632071,0.008753426751773442,0.008682398291979702,5.0,1000,1600
26,5,5,5,10.0,5.018735921729281,5.004673041659668,0.008539417300133256,0.008529621533437696,5.0,1000,1600
27,5,5,5,10.0,5.002868816226086,4.992696130232376,0.00878540588476343,0.008875373022088474,5.0,1000,1600
28,5,5,5,10.0,5.003936622425502,5.002532802811718,0.008202938778903417,0.008227667357247148,5.0,1000,1600
29,5,5,5,10.0,4.999542702522791,5.014435312883198,0.008641836929363796,0.008658086016855767,5.0,1000,1600
30,5,5,5,10.0,4.99972197206838,5.001280615702968,0.007941883189675545,0.008023736347117828,5.0,1000,1600
31,5,5,5,10.0,5.00835179993575,5.007036491579689,0.008661786100355317,0.008602256422482383,5.0,1000,1600
32,5,5,5,10.0,5.003566109421052,5.003713293725231,0.008735460127780818,0.008687465894477206,5.0,1000,1600
33,5,5,5,10.0,5.0097370392185985,5.003488300380137,0.008585274766125577,0.008572405919254884,5.0,1000,1600
34,5,5,5,10.0,5.003578463118587,5.0028280435268515,0.009207573691132925,0.00928294683158538,5.0,1000,1600
35,5,5,5,10.0,4.998025320175781,4.997568367078246,0.008872444381908018,0.008894616660712801,5.0,1000,1600
36,5,5,5,10.0,5.0026621049097875,5.011646268129457,0.008430839994757099,0.008337950572044887,5.0,1000,1600
37,5,5,5,10.0,5.003014519269545,5.001702615704189,0.008332651876763117,0.008450039080629558,5.0,1000,1600
38,5,5,5,10.0,4.996607312706038,4.9942830920099235,0.008342898549431536,0.008403646906094383,5.0,1000,1600
39,5,5,5,10.0,4.9911283409262275,4.978863194036214,0.008984451397367005,0.009016972000412158,5.0,1000,1600
40,5,5,5,10.0,5.012572048048125,4.9980991827994705,0.008746398424303291,0.008885807511648547,5.0,1000,1600
41,5,5,5,10.0,4.985926529729536,5.001194800027732,0.00858891006078738,0.00854071094073963,5.0,1000,1600
42,5,5,5,10.0,4.993243774702651,4.993273637782835,0.0083665864242882,0.008341216481814752,5.0,1000,1600
43,5,5,5,10.0,4.99559412232176,4.990602762377077,0.008270998966213482,0.00821846368491032,5.0,1000,1600
44,5,5,5,10.0,4.9973814236535565,4.993592531856144,0.008602367055853929,0.00847219241879326,5.0,1000,1600
45,5,5,5,10.0,4.996154457742644,5.000585123670637,0.007926197928099815,0.00792356491358644,5.0,1000,1600
46,5,5,5,10.0,5.003864812474356,5.004582177177843,0.008099249967215212,0.008062507604642171,5.0,1000,1600
47,5,5,5,10.0,4.993789978242204,5.008843212497928,0.008553945393413458,0.008528998748868873,5.0,1000,1600
