,redchi,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,amplitude error,separation,star1 flux,star2 flux,freqs analyzed
0,6.76263092161247,5,5,5,7.0,6.6379035013772425,4.988238053061553,0.03290596961054252,0.023449292735250503,0.07105924853505144,2.0,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
1,0.9649823295615358,5,5,5,7.0,6.950825790832214,5.010563938509849,0.014366354473421921,0.011330141724704179,0.03578481862856386,2.0,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
2,1.1011474314244518,5,5,5,7.0,5.040038490062318,5.009503081233505,0.015145222405340266,0.012032956668657054,0.037390881668552825,2.0,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
3,1.0535060384919757,5,5,5,7.0,6.964623917449482,5.017077841413471,0.028122886952933072,0.0224121588163935,0.03770046215453757,2.0,1000,1000,"[6.2921917, 30]"
4,0.9962850044586785,5,5,5,7.0,6.927969575345406,4.996513569319057,0.031236534832293317,0.024603092982545118,0.040937671187951157,2.0,1000,1000,"[6.10200123, 30]"
5,1.0139886491592547,5,5,5,7.0,6.984065586022962,5.0343320429382885,0.031731414805540994,0.025462816474648178,0.043268992134014646,2.0,1000,1000,"[2.83989113, 30]"
6,0.9364790109614183,5,5,5,7.0,6.917305175701807,4.996297099148665,0.03122767199370653,0.024424729932098502,0.040582179513740484,2.0,1000,1000,"[1.9042865, 30]"
7,3.196148814615644,5,5,5,7.0,6.679404921304394,4.987367755831267,0.04692959771677737,0.03307430864760998,0.052469616269962875,2.0,1000,1000,"[6.36944641, 30]"
8,1.0947934513392843,5,5,5,7.0,5.065043361362677,5.020950974499702,0.03264970327164983,0.025766784071936704,0.043028733414738875,2.0,1000,1000,"[5.79621597, 30]"
9,1.1013476332529497,5,5,5,7.0,5.050962900047102,4.9779529703964505,0.032829060572996734,0.026049325352851784,0.043619584375674036,2.0,1000,1000,"[4.79305406, 30]"
10,3.1112319365987693,5,5,5,7.0,5.378068368808001,5.0008819442326065,0.050525156159950464,0.03432725917460663,0.05454437475003979,2.0,1000,1000,"[3.34108026, 30]"
11,1.0848175567420824,5,5,5,7.0,5.0228350122659045,5.027616442842022,0.03032585664774178,0.02433821850554265,0.041042637298895554,2.0,1000,1000,"[2.52700119, 30]"
12,3.265222617254736,5,5,5,7.0,6.659172625999338,4.958309795201679,0.05221691110232955,0.036311550447913024,0.05788383301222477,2.0,1000,1000,"[1.38013074, 30]"
13,3.473537613321615,5,5,5,7.0,5.281340457438083,5.009059901937134,0.050757705609637056,0.036537504947677,0.058432603566786555,2.0,1000,1000,"[0.69039098, 30]"
14,0.9932073234768349,5,5,5,7.0,5.023465898367886,5.010110820734892,0.030667557720349754,0.02456369777195921,0.041480277403602765,2.0,1000,1000,"[0.24783128, 30]"
15,3.9692775390579174,5,5,5,6.5,5.723474479260068,4.998137951994323,0.024380412672565313,0.0160000872052572,0.0502858340654306,1.5,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
16,0.9344416791016219,5,5,5,6.5,6.468968928304579,4.99309847342801,0.01521951007340489,0.01161023400453668,0.03632858088850931,1.5,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
17,1.1009748549078644,5,5,5,6.5,5.062741362529617,4.988647815297502,0.017118917659009174,0.012687234822169194,0.038828257101360064,1.5,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
18,0.9424495486344346,5,5,5,6.5,6.46999398608697,4.998885535668008,0.03004971597970939,0.02289202864065916,0.04109824672895593,1.5,1000,1000,"[6.2921917, 30]"
19,0.9866602171243521,5,5,5,6.5,6.442489417263629,4.999473199588837,0.03291054644702544,0.02478775600100285,0.044182945393849225,1.5,1000,1000,"[6.10200123, 30]"
20,0.8529302557226134,5,5,5,6.5,6.498953307919122,4.985927761018073,0.03214414037457672,0.024717016105340467,0.044941645293413254,1.5,1000,1000,"[2.83989113, 30]"
21,0.8499642151630323,5,5,5,6.5,6.461939242684153,4.991149565035768,0.03053771350802314,0.023132425835991996,0.04152330261815808,1.5,1000,1000,"[1.9042865, 30]"
22,2.1252340334916187,5,5,5,6.5,5.69393571469502,4.9964935960366885,0.0381978653656338,0.024077643089671346,0.03933173040983079,1.5,1000,1000,"[6.36944641, 30]"
23,1.0980124392011321,5,5,5,6.5,5.064517640399749,4.986208627479467,0.03808386472938629,0.028418019796933043,0.05124165074255041,1.5,1000,1000,"[5.79621597, 30]"
24,0.9454206170379771,5,5,5,6.5,5.084562476407001,4.972498180807839,0.03391917956726311,0.025091933523158146,0.044925121361125524,1.5,1000,1000,"[4.79305406, 30]"
25,2.0109688463930757,5,5,5,6.5,5.614115846003867,5.002236319736954,0.03841391570089289,0.02457242732597633,0.04037756849518228,1.5,1000,1000,"[3.34108026, 30]"
26,0.9480061891465097,5,5,5,6.5,5.051419888327643,4.990058172778638,0.03272541387883733,0.024483118302997188,0.044272042625194845,1.5,1000,1000,"[2.52700119, 30]"
27,2.2961368967341933,5,5,5,6.5,5.793923569399279,4.994842176018615,0.04355159668744211,0.027045028429077092,0.04444719006826274,1.5,1000,1000,"[1.38013074, 30]"
28,2.148719887273871,5,5,5,6.5,5.830217026642369,4.998661176993091,0.042819567208208766,0.026477043035502603,0.043629554227984604,1.5,1000,1000,"[0.69039098, 30]"
