,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,amplitude error,separation,star1 flux,star2 flux
0,5,5,5,9.8,4.996957092087193,5.005464929388735,0.036400992612194816,0.03616559383423907,0.04506047815650598,4.800000000000001,1000,1000
1,5,5,5,9.8,5.0010258397942975,4.956859831967952,0.03265573842101596,0.03258468061377453,0.040700981106214076,4.800000000000001,1000,1000
2,5,5,5,9.8,4.9622266980615,4.919113825540269,0.03472176232757749,0.03468409440258936,0.04340557915007447,4.800000000000001,1000,1000
3,5,5,5,9.8,4.982725369221075,4.968134842147694,0.030483419561407134,0.030186198221293002,0.037639200148611204,4.800000000000001,1000,1000
4,5,5,5,9.8,5.039830036008154,5.003883710642287,0.029511629623673197,0.029190909170899833,0.03675761197313006,4.800000000000001,1000,1000
5,5,5,5,9.8,5.074050328044549,5.034989866968263,0.03267423443981478,0.031911030195861806,0.04066703457292481,4.800000000000001,1000,1000
6,5,5,5,9.8,5.025361060154379,5.028331724854217,0.032175897430366716,0.03233608015449881,0.04086449793511905,4.800000000000001,1000,1000
7,5,5,5,9.8,5.009064714940379,4.965947496723161,0.03468156932273139,0.03475972157887874,0.043541020985012086,4.800000000000001,1000,1000
8,5,5,5,9.8,5.0164415353574,4.975152210230495,0.02989660181918433,0.02975478360465917,0.036801584336876164,4.800000000000001,1000,1000
9,5,5,5,9.8,5.0401649251700125,5.012489703359524,0.03292353233688408,0.03290255228889543,0.041362021856468006,4.800000000000001,1000,1000
10,5,5,5,9.8,4.997021833095287,5.027770571016595,0.033840436087579466,0.03315095766295841,0.04135324392072697,4.800000000000001,1000,1000
11,5,5,5,9.8,4.980880329089998,4.991391264841145,0.032855798994557955,0.03274774987944402,0.040726557562308294,4.800000000000001,1000,1000
12,5,5,5,9.8,5.0520750952502755,5.005353800920897,0.03489652630825627,0.034696859698884606,0.043710596559383565,4.800000000000001,1000,1000
13,5,5,5,9.8,4.990466507041695,5.0282027416920485,0.03139851188541088,0.031229725062954395,0.038931990263904946,4.800000000000001,1000,1000
14,5,5,5,9.8,5.012647994888671,4.978116071540704,0.03663582160332153,0.03618977129186613,0.0454452549878848,4.800000000000001,1000,1000
15,5,5,5,9.8,5.005405206558984,4.941761676162045,0.03245061509298533,0.032298537521504536,0.04047499188880091,4.800000000000001,1000,1000
16,5,5,5,9.8,4.978971723164442,4.988431553621137,0.03658171957487519,0.03632460861712667,0.04539843397625405,4.800000000000001,1000,1000
17,5,5,5,9.8,4.9912915084817895,4.986695137963561,0.034525657638194034,0.033988951636012614,0.042584057776709094,4.800000000000001,1000,1000
18,5,5,5,9.8,4.97375714884211,5.02924763206833,0.034869618986615426,0.034614384853009536,0.043501752572321487,4.800000000000001,1000,1000
19,5,5,5,9.8,4.9489825409409525,5.061359083531634,0.032633513553202945,0.03223847705388154,0.04062023097089882,4.800000000000001,1000,1000
20,5,5,5,9.8,5.05361178946227,5.009121584947476,0.03565417397972958,0.034887869707958756,0.04370923552826422,4.800000000000001,1000,1000
21,5,5,5,9.8,4.984310681616868,5.022550226713085,0.0315488291691988,0.03139388941675696,0.03894830454846314,4.800000000000001,1000,1000
22,5,5,5,9.8,5.037017400723039,4.961562259543509,0.034594284212432956,0.03383682999558519,0.042826240498912364,4.800000000000001,1000,1000
23,5,5,5,9.8,5.011605565669874,4.995480819675905,0.03288549677811426,0.03291552854262913,0.0408489769720909,4.800000000000001,1000,1000
24,5,5,5,9.8,5.0026843526596885,5.0360426119269395,0.029227460386140745,0.029512600812055603,0.03678885699605566,4.800000000000001,1000,1000
25,5,5,5,9.8,4.912629675091666,5.066080475466822,0.03180769120834095,0.03195207924910076,0.03994810227066826,4.800000000000001,1000,1000
26,5,5,5,9.8,5.048578629481065,4.9940697977624735,0.03396026954996065,0.0340965702212732,0.04309622353561762,4.800000000000001,1000,1000
27,5,5,5,9.8,5.002972305789198,5.009026748098663,0.03008082424488851,0.029918013506931906,0.03769189258329225,4.800000000000001,1000,1000
28,5,5,5,9.8,4.945989246355354,5.005244535109471,0.031697898440415165,0.031189317222169586,0.039229548333720096,4.800000000000001,1000,1000
29,5,5,5,9.8,5.0077237926406495,4.986935517676202,0.03168128769332293,0.031068309952189968,0.038735896005414605,4.800000000000001,1000,1000
