,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,separation,star1 flux,star2 flux
1299,5,5,0,0,5.0048570841675675,4.990704057171127,0.007181312110681922,0.007131762566428377,0,1000,0.11
1300,5,5,0,0,5.003604639162872,5.0005038894565805,0.007454083202325554,0.007431547352375363,0,1000,0.11
1301,5,5,0,0,4.993913964815036,5.006752736257569,0.007315347624945019,0.0073632454287621005,0,1000,0.11
1302,5,5,0,0,4.999120648697913,4.998600010761031,0.007305730271545374,0.0073683502899207455,0,1000,0.11
1303,5,5,0,0,4.999740761826878,5.0067271251512135,0.008322620313115514,0.008394250855628234,0,1000,0.11
1304,5,5,0,0,5.0160171207060245,5.000195341516453,0.007669205790750717,0.007547004357135305,0,1000,0.11
1305,5,5,0,0,4.992847208340297,4.996515146049754,0.0074576328821463036,0.007403032880994516,0,1000,0.11
1306,5,5,0,0,5.014029916905445,5.009374867993607,0.0074208389722770435,0.007389646135529062,0,1000,0.11
1307,5,5,0,0,4.992250856076142,5.009624911245438,0.007286657693022967,0.007357784592209522,0,1000,0.11
1308,5,5,0,0,5.013868028571717,4.994717298779727,0.007328133460114304,0.0072927138782028205,0,1000,0.11
1309,5,5,0,0,4.99097573739867,5.013079337536767,0.006905898491437367,0.006962579305965173,0,1000,0.11
1310,5,5,0,0,4.990267646062508,4.994355992294259,0.008248869099042114,0.008291994990594444,0,1000,0.11
1311,5,5,0,0,4.99435265717221,5.009130392380707,0.007783247001782224,0.007779461553460277,0,1000,0.11
1312,5,5,0,0,5.004425845896233,5.015125188476619,0.007273658278212876,0.007302431482564843,0,1000,0.11
1313,5,5,0,0,4.994884715973435,5.006065145614701,0.00721802985532372,0.007169873060263129,0,1000,0.11
1314,5,5,0,0,4.991800482557914,5.003468391976087,0.007560146069944135,0.007608998225373986,0,1000,0.11
1315,5,5,0,0,5.000066633867705,5.00457399855318,0.007874497242729964,0.007837598656036504,0,1000,0.11
1316,5,5,0,0,5.01386696594577,5.00219210448827,0.00801795227755968,0.007963694954495892,0,1000,0.11
1317,5,5,0,0,5.006158078628666,4.996992055496371,0.007890749198667042,0.00794884839325805,0,1000,0.11
1318,5,5,0,0,4.997701723911627,4.996913762861461,0.007600215793928874,0.007624086241314836,0,1000,0.11
1319,5,5,0,0,5.013425679921631,4.998575851013092,0.00764947912511496,0.007607493620852649,0,1000,0.11
1320,5,5,0,0,4.993587990694011,4.987941593918013,0.007637422322556292,0.007605930411810647,0,1000,0.11
1321,5,5,0,0,5.008784491735027,4.995558352910199,0.007292364725236574,0.007327801886247577,0,1000,0.11
1322,5,5,0,0,5.005240287420146,5.005768273698958,0.007276643287259556,0.007291236740210067,0,1000,0.11
1323,5,5,0,0,4.998781230336309,5.007383203661855,0.007271967161141645,0.00733248071054023,0,1000,0.11
1324,5,5,0,0,4.999495837779872,5.016132827990513,0.007746323861240877,0.007757037990420257,0,1000,0.11
1325,5,5,0,0,4.991475341223648,5.004527076946155,0.006881785913348945,0.006928828230863837,0,1000,0.11
1326,5,5,0,0,5.004059081720395,5.007473892295011,0.007476582869011524,0.007482887014053419,0,1000,0.11
1327,5,5,0,0,4.9864458269609715,5.001834710523774,0.007181692884667936,0.007186015254982816,0,1000,0.11
1328,5,5,0,0,4.998891231102419,4.996620368991436,0.0073942759286487,0.007307367767914309,0,1000,0.11
1329,5,5,0,0,5.012501378797264,4.999843291738345,0.007669935934117838,0.0077082427252861815,0,1000,0.11
1330,5,5,0,0,5.004330163481405,4.996924003692251,0.008034270092323428,0.008000525952404738,0,1000,0.11
1331,5,5,0,0,5.007491275201897,4.999146856850373,0.007880995663375051,0.007923718480925076,0,1000,0.11
1332,5,5,0,0,5.002528573338205,5.001936759210381,0.008077757129167886,0.008113701092828388,0,1000,0.11
1333,5,5,0,0,5.013590198813753,4.9879763943155,0.007935265821737716,0.007879544609376423,0,1000,0.11
1334,5,5,0,0,4.992853984057393,4.992050699871682,0.008008455470528175,0.007957291836891745,0,1000,0.11
1335,5,5,0,0,4.994247611686692,4.998434952481148,0.007972331991199335,0.008018472311344536,0,1000,0.11
1336,5,5,0,0,5.0068465834012255,5.011347626430518,0.007174016863551519,0.007273828329822787,0,1000,0.11
1337,5,5,0,0,5.006349889516532,5.010367412318524,0.007918146808475898,0.00787377205619674,0,1000,0.11
1338,5,5,0,0,5.003752068091414,4.9924659410567696,0.007877946623545606,0.007763886890877361,0,1000,0.11
1339,5,5,0,0,5.02195458646063,5.002235010466951,0.007826398787646516,0.007841556118752818,0,1000,0.11
1340,5,5,0,0,4.992994262391602,4.999467994420298,0.0078094165983325714,0.007859695172689219,0,1000,0.11
1341,5,5,0,0,4.993842709955203,4.999178860738884,0.0076299391977598776,0.007665948748291139,0,1000,0.11
1342,5,5,0,0,5.00621815283682,5.002227723851094,0.007489251346582074,0.007487612869688486,0,1000,0.11
1343,5,5,0,0,4.990966182630431,4.988435311235281,0.00740360433423356,0.007495870309575279,0,1000,0.11
1344,5,5,0,0,4.9939265222520675,4.993479515957285,0.007581529473238628,0.0075172978389687,0,1000,0.11
1345,5,5,0,0,5.010932808177107,5.0072503046085055,0.007629723047810688,0.007656877639233506,0,1000,0.11
1346,5,5,0,0,4.998395405743819,5.0043174472175735,0.007986742606648266,0.007998818317387692,0,1000,0.11
1347,5,5,0,0,5.014468166439671,5.009896729212814,0.008020223694347472,0.007998440871224357,0,1000,0.11
1348,5,5,0,0,4.99256306907483,4.990120710194859,0.008045413535934465,0.008107599325447684,0,1000,0.11
1349,5,5,0,0,5.014334516316078,4.992436539685278,0.007618972922292408,0.007688830407202693,0,1000,0.11
1350,5,5,0,0,4.978640949075392,4.993188947805188,0.008066415788824924,0.008062637983485126,0,1000,0.11
1351,5,5,0,0,5.007368927162761,5.000041758450257,0.0077907014518989156,0.007739082620902326,0,1000,0.11
1352,5,5,0,0,4.997817143310688,5.009071096338454,0.007644102029651679,0.007660321077987229,0,1000,0.11
1353,5,5,0,0,4.997551925436719,5.009206818720676,0.007678135729151008,0.0077858177624941976,0,1000,0.11
1354,5,5,0,0,4.989804324934245,4.999054238784321,0.007460490947100026,0.0073790500062669555,0,1000,0.11
1355,5,5,0,0,5.004215974902088,5.001784849016846,0.007793258410470188,0.007761776918324065,0,1000,0.11
