,real x,real y,x fit,y fit,x stderr,y stderr
1072,5,9.5,5.027284763498832,9.477846455683721,0.022113137446548393,0.030327326895311157
1073,5,9.5,5.031175979737859,9.512045843019095,0.021119900675468734,0.03010734023462824
1074,5,9.5,4.955833002130085,9.412332170106367,0.022423187344158674,0.03070174215366375
1075,5,9.5,4.992290630609732,9.50574974628754,0.02144296120041475,0.030329040845679316
1076,5,9.5,5.010331363997197,9.452671718500776,0.019952810011683468,0.027271715125165456
1077,5,9.5,4.979523857529202,9.55257975642751,0.02054019567208059,0.03107204327506345
1078,5,9.5,4.9940029261569805,9.490680238958372,0.021390768226332704,0.03030003150941921
1079,5,9.5,5.0355687475337865,9.478150332122864,0.019214663931215327,0.02696731965430079
1080,5,9.5,5.00398111568765,9.515746787804066,0.0222073256089254,0.0322713783674461
1081,5,9.5,5.008962242868524,9.474416332472888,0.020128371652516828,0.028168054739409462
1082,5,9.5,4.992433572445952,9.447567352020782,0.02333384423112235,0.03173381066901732
1083,5,9.5,5.006624788064858,9.514547897740563,0.022246794950858156,0.03262221019921197
1084,5,9.5,5.0101989432138225,9.514622124486229,0.021132060047053234,0.03052952948757403
1085,5,9.5,5.040448918616705,9.486080755218882,0.018195780038798043,0.025309934856501674
1086,5,9.5,4.965320709588758,9.531158790500863,0.02450610467302246,0.03550106944254281
1087,5,9.5,5.006253576109672,9.45384895584234,0.02268199294475949,0.031226876588913342
1088,5,9.5,5.006506575245551,9.5024199682508,0.02068389233558254,0.028884612472369373
1089,5,9.5,5.007361916817027,9.444064939896183,0.022757738406223537,0.03093618472843912
1090,5,9.5,5.030786344387377,9.499906087896928,0.022250945485792865,0.03186723892630614
1091,5,9.5,4.99442585367101,9.52387752333013,0.020147959560079698,0.029023832119435874
1092,5,9.5,4.992807102423925,9.52490586569816,0.024158851274183463,0.03522390748709266
1093,5,9.5,4.984963389616434,9.487467566475953,0.02244091717202602,0.03152839945051516
1094,5,9.5,4.986946218262724,9.495816838537168,0.024642787591007395,0.034947723144864454
1095,5,9.5,4.984003499841311,9.464750202084451,0.02317944524323484,0.03246353944819812
1096,5,9.5,4.986575334846668,9.455232169285926,0.021430441378309243,0.028858876374862234
1097,5,9.5,4.998881670670865,9.495091127200066,0.02061893678820588,0.029155744284022563
1098,5,9.5,4.956427174479558,9.550437484418135,0.02040876184728965,0.030464553791276727
1099,5,9.5,5.033893109352348,9.497556172726261,0.02332010924478521,0.03289726185466753
1100,5,9.5,4.988621053543774,9.494576586482927,0.021646611373631386,0.03065791075425317
1101,5,9.5,4.958121925464244,9.48389644246375,0.023054066837494284,0.031841071779530904
1102,5,9.5,4.9621499251753205,9.534223143934323,0.021571399581448297,0.031497243109386196
1103,5,9.5,5.006154225131558,9.518968947927325,0.022087869799450727,0.031774843068866805
1104,5,9.5,5.019114570998086,9.494211938356036,0.018419307541893772,0.02642918388689679
1105,5,9.5,5.000657610891319,9.521969798097562,0.022450352526639312,0.032534442669875666
1106,5,9.5,5.028281303925697,9.527794939423604,0.02284965034838801,0.033850498517394044
1107,5,9.5,5.018846940108681,9.44020990170233,0.021770416539756917,0.030024738350853845
1108,5,9.5,5.009467906961919,9.486700382008465,0.021023364516699984,0.030073085852988166
1109,5,9.5,5.005139854569385,9.484017435691994,0.02282555901816703,0.03283148295215181
