,redchi,real x star 1,real y star 1,real x star 2,real y star 2,x fit star 1,y fit star 1,x stderr,y stderr,separation,star1 flux,star2 flux,freqs analyzed
0,5.973107649863083,5,5,5,7.0,7.165786577569751,4.984663631627393,0.043117684296694436,0.037277334875348796,2.0,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
1,1.048088099860383,5,5,5,7.0,6.955324856411273,5.007032228129107,0.013244273068913508,0.011054686786971671,2.0,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
2,1.187271101810591,5,5,5,7.0,5.019549915735377,4.997895457788282,0.01454981715706939,0.012270460051191744,2.0,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
3,1.0442588229068794,5,5,5,7.0,6.960890210894622,5.01209481876403,0.027028399604859338,0.022545454655533606,2.0,1000,1000,"[6.2921917, 30]"
4,1.0473318357481687,5,5,5,7.0,6.962380163795914,4.9947825957581005,0.027448744213882555,0.022939093410132668,2.0,1000,1000,"[6.10200123, 30]"
5,0.8984154761394771,5,5,5,7.0,6.926036628172114,4.988828735567469,0.026504100166265178,0.02187345745638618,2.0,1000,1000,"[2.83989113, 30]"
6,0.8798267951140807,5,5,5,7.0,6.965659847199072,5.036909753258679,0.02663644790742505,0.022264683038531075,2.0,1000,1000,"[1.9042865, 30]"
7,3.4497914588610628,5,5,5,7.0,7.154186948340984,4.95847142740925,0.05952110720512004,0.05188241028317595,2.0,1000,1000,"[6.36944641, 30]"
8,0.9912420161172516,5,5,5,7.0,4.991854643595544,5.0106302445747275,0.02878270651228695,0.024593785291296882,2.0,1000,1000,"[5.79621597, 30]"
9,1.102924135746107,5,5,5,7.0,5.036704167469584,5.002383362027142,0.031191839363716105,0.026297581444262162,2.0,1000,1000,"[4.79305406, 30]"
10,2.1727044950353323,5,5,5,7.0,7.185992158211907,4.930696328188669,0.06714670443108246,0.05907168023151351,2.0,1000,1000,"[3.34108026, 30]"
11,1.0740635314704918,5,5,5,7.0,5.022076221525806,5.01600645983214,0.028344173483579583,0.024018210343652178,2.0,1000,1000,"[2.52700119, 30]"
12,2.7242379463307795,5,5,5,7.0,4.835094439540517,5.025902747462472,0.0683964686500029,0.06053232714496359,2.0,1000,1000,"[1.38013074, 30]"
13,3.7580027323729452,5,5,5,7.0,7.181331413094437,5.020599543837445,0.06544781451228827,0.05721158167673675,2.0,1000,1000,"[0.69039098, 30]"
14,0.9540955945231614,5,5,5,7.0,5.025685601542006,4.964601181483929,0.02684990883361285,0.022738080715836887,2.0,1000,1000,"[0.24783128, 30]"
15,3.2120678999307413,5,5,5,6.5,4.749080776889899,4.998998209953602,0.050520522050631886,0.04322186789259522,1.5,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
16,1.1554749281024497,5,5,5,6.5,6.448930749949418,4.9918262237805004,0.015373296385372008,0.012403654627082822,1.5,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
17,1.1203743815764058,5,5,5,6.5,5.049368971572142,5.001681632610511,0.016027164140191594,0.012355992082412524,1.5,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
18,1.0554710952840194,5,5,5,6.5,6.44310074414872,5.026590339929881,0.03023502040729308,0.023923528142928776,1.5,1000,1000,"[6.2921917, 30]"
19,0.997130483317116,5,5,5,6.5,6.462260164183523,4.969432757038742,0.0294763930968438,0.023691695144004724,1.5,1000,1000,"[6.10200123, 30]"
20,0.9479392693424025,5,5,5,6.5,6.431279914075648,4.969699341865535,0.030629829271724425,0.0242010995167815,1.5,1000,1000,"[2.83989113, 30]"
21,1.0991259636649473,5,5,5,6.5,6.450555353198447,4.9960042514787215,0.03308707010582626,0.026394585605866546,1.5,1000,1000,"[1.9042865, 30]"
22,2.169968282643107,5,5,5,6.5,6.720135547489602,4.969188728676886,0.06715909952112248,0.059295507434799416,1.5,1000,1000,"[6.36944641, 30]"
23,0.9825023674178568,5,5,5,6.5,5.09627365650299,4.994098199076156,0.03243046836722405,0.02482012727249314,1.5,1000,1000,"[5.79621597, 30]"
24,1.0129080406076665,5,5,5,6.5,5.021588245698454,4.978999651092984,0.031135284136158525,0.024440570512789053,1.5,1000,1000,"[4.79305406, 30]"
25,3.1306059109074784,5,5,5,6.5,4.784402794408601,5.005605889116583,0.07135313377803015,0.06039854611159565,1.5,1000,1000,"[3.34108026, 30]"
26,0.9824761249120887,5,5,5,6.5,5.037797159833655,5.025676299273472,0.03157657812830063,0.024672184466117034,1.5,1000,1000,"[2.52700119, 30]"
27,0.9264886714094477,5,5,5,6.5,6.999945902225668,4.634666830715351,0.14450230042991394,0.13392915049391024,1.5,1000,1000,"[1.38013074, 30]"
28,1.5038105539696023,5,5,5,6.5,4.719104833620854,5.045508883505474,0.08354365997663138,0.07185184964230396,1.5,1000,1000,"[0.69039098, 30]"
29,1.0335882913239727,5,5,5,6.5,5.038708148204413,5.010345048595781,0.03300715175939812,0.02581699636014674,1.5,1000,1000,"[0.24783128, 30]"
30,3.8067804900171165,5,5,5,6.0,4.700888268233123,4.958110343838508,0.05718393519233223,0.04931877601549419,1.0,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
31,1.1414046363535468,5,5,5,6.0,5.933476685942451,5.00777962383627,0.016591178437996273,0.012937045006431678,1.0,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
32,1.1146561831563628,5,5,5,6.0,5.037439430481321,4.998404648611761,0.016522136679307187,0.013002117156420814,1.0,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
33,1.0730137294131334,5,5,5,6.0,5.964527925500773,5.020950906467319,0.03250636853113178,0.025759070402959956,1.0,1000,1000,"[6.2921917, 30]"
34,1.0394601963816794,5,5,5,6.0,5.932651533750291,4.999790117999965,0.03245883486039696,0.025428524593852562,1.0,1000,1000,"[6.10200123, 30]"
35,1.0114379630614414,5,5,5,6.0,5.9376517492717324,5.016953460539682,0.033953242284246336,0.026625676700332744,1.0,1000,1000,"[2.83989113, 30]"
36,0.9859550479370317,5,5,5,6.0,5.905258918946949,4.993654569131592,0.03308371094606972,0.025715688774840713,1.0,1000,1000,"[1.9042865, 30]"
37,2.165442449429145,5,5,5,6.0,6.253525667927759,4.9661536091729825,0.08405848305558972,0.07140277564470021,1.0,1000,1000,"[6.36944641, 30]"
38,0.9582897932635143,5,5,5,6.0,5.050904490449569,5.008411948983887,0.03229386557351324,0.02544876387447072,1.0,1000,1000,"[5.79621597, 30]"
39,1.0439259529287408,5,5,5,6.0,5.030550326494586,4.98970195737171,0.034379986476439306,0.027281003298707224,1.0,1000,1000,"[4.79305406, 30]"
40,1.8425940221780308,5,5,5,6.0,4.715146127632732,4.95758150800699,0.09908441889902643,0.08509537288699896,1.0,1000,1000,"[3.34108026, 30]"
41,1.0519723233650555,5,5,5,6.0,5.006439110400598,5.0087413271432375,0.033505594281783874,0.026798099452695397,1.0,1000,1000,"[2.52700119, 30]"
42,2.53444237857182,5,5,5,6.0,4.700791578034578,4.959918418298076,0.07749121936617581,0.0667529800189982,1.0,1000,1000,"[1.38013074, 30]"
43,2.240355259673164,5,5,5,6.0,4.730656618337684,4.94011783027338,0.0915698811182022,0.07855057324975871,1.0,1000,1000,"[0.69039098, 30]"
44,1.0372736836498264,5,5,5,6.0,5.056968942355083,4.983586667382981,0.03368532487936852,0.02652004107372069,1.0,1000,1000,"[0.24783128, 30]"
45,1.8230233305098529,5,5,5,5.5,5.923697418489211,4.9949934236424625,0.07908622515329218,0.07103754660627655,0.5,1000,1000,"[0.69039098, 1.38013074, 3.34108026, 6.36944641]"
46,1.150424868986991,5,5,5,5.5,5.481707483808267,4.99236395419328,0.015855770299044558,0.014317753152855599,0.5,1000,1000,"[1.9042865, 2.83989113, 6.10200123, 6.2921917]"
47,0.9865305290027964,5,5,5,5.5,5.028904994544059,4.991081241080539,0.01500697709066193,0.013419578148074424,0.5,1000,1000,"[0.24783128, 2.52700119, 4.79305406, 5.79621597]"
48,1.1006865571238509,5,5,5,5.5,5.46159055802666,4.998808219212067,0.03175685876283115,0.02877996185410065,0.5,1000,1000,"[6.2921917, 30]"
49,1.1000360549503454,5,5,5,5.5,5.474757060397173,4.995197776294784,0.03183479725115263,0.02884903952581583,0.5,1000,1000,"[6.10200123, 30]"
50,1.1150604725141782,5,5,5,5.5,5.476872640342889,4.990113456827844,0.034185893770843225,0.03092485194528283,0.5,1000,1000,"[2.83989113, 30]"
