,real x,real y,x fit,y fit,x stderr,y stderr,star flux
14253,5,5,5.1048728931373955,4.966353843618462,0.10162026728482994,0.10440299518538429,60
14254,5,5,5.088496493517879,5.059840934210866,0.12117495694546247,0.12125523071642452,60
14255,5,5,5.009965594212567,5.173967303666428,0.11169937914155652,0.11175504896907112,60
14256,5,5,5.077130822650732,5.008114904525661,0.12024421408680938,0.12217745116356639,60
14257,5,5,5.169245658218693,5.113396049191044,0.08654016664864637,0.08773473681430935,60
14258,5,5,4.904439610272679,5.001602137412838,0.09052793585697191,0.08849908181127751,60
14259,5,5,4.8882248181313255,5.1372675360463615,0.10468839189851765,0.10495569247156479,60
14260,5,5,5.028897560389498,4.953529161308455,0.11976540725890497,0.12177624670149725,60
14261,5,5,4.941411395430748,5.017471557643125,0.09985923718813998,0.09783065127862149,60
14262,5,5,4.941180570561735,4.975476894199139,0.10254302558978605,0.10124439136237535,60
14263,5,5,4.875276185871381,4.950209176158261,0.08402410262563657,0.08352256906895167,60
14264,5,5,4.887693196554294,4.941345360718928,0.1079163846827359,0.10868147826606515,60
14265,5,5,4.90341371718088,5.162154305986579,0.11284321351669299,0.11455574200248962,60
14266,5,5,5.131843633978289,4.895635483257098,0.09216373522730469,0.09407949864099535,60
14267,5,5,4.9652232688721725,4.859048164366109,0.10100200117621666,0.10167523290143815,60
14268,5,5,5.020932537366684,4.832017503701926,0.09581862150046946,0.09349169617209135,60
14269,5,5,5.0919863263614085,4.838918877241822,0.0936945450457713,0.09160436826318515,60
14270,5,5,4.807285903270542,4.970197433787401,0.12133388957427754,0.12545843739504295,60
14271,5,5,5.106834511787901,4.898613349254608,0.10385681262607463,0.10296587196907772,60
14272,5,5,4.838763199380179,5.0890715693484,0.08864651658906153,0.09084252814125958,60
14273,5,5,5.149840963826883,5.028584683177028,0.10993804535192828,0.1105815338240171,60
14274,5,5,5.064414498353758,5.124099096344137,0.11095536905315057,0.11059855019209122,60
14275,5,5,4.911319320629274,4.9089381120166875,0.08718371469561081,0.0876188125651326,60
14276,5,5,5.101208235959522,4.827437342938635,0.1073086625186716,0.10854037457091278,60
14277,5,5,4.937087472489884,5.144740865482225,0.09441170323953207,0.0933104713884563,60
14278,5,5,5.009006454156994,5.077715186449515,0.09619913486144982,0.09476900700967882,60
14279,5,5,4.769263633683635,4.995267649318846,0.07689470512431805,0.0853462298525589,60
14280,5,5,4.956261243301631,4.8231612367026075,0.11600506593238237,0.11786135261585366,60
14281,5,5,4.97800469987649,4.841460815976337,0.1292558170717513,0.12962919641532047,60
14282,5,5,5.05982498234909,5.016391812277289,0.13087937735116412,0.12888639229226137,60
14283,5,5,4.916405091846898,4.987312282762632,0.09618388625655046,0.09424652504795075,60
14284,5,5,4.871876748755047,5.100730453969852,0.10723770781058599,0.10794381475779492,60
14285,5,5,4.9934023324340036,4.998541517617502,0.11738117844361735,0.12237074395833111,60
14286,5,5,4.944999967278228,4.832492178628961,0.1055859842952723,0.104339161463901,60
14287,5,5,4.727511961057602,4.97113265294062,0.10437195764405767,0.1041899526883981,60
14288,5,5,5.065086847427076,4.92232871336316,0.08427793521439081,0.0833099620719703,60
14289,5,5,5.0553271046488675,4.973457750874338,0.1011650921825892,0.09753470814263455,60
14290,5,5,5.253445449918342,4.864230733487822,0.09164265600560802,0.09389107787692405,60
14291,5,5,4.942875358688763,4.956339650712551,0.10334742653013045,0.10137583800793533,60
14292,5,5,5.098618639711872,5.096041189527519,0.0920966431886461,0.09213956320114074,60
14293,5,5,5.003406420363293,5.114705035222541,0.11039902464512374,0.10976961665240649,60
14294,5,5,4.854771378263739,4.941444638636891,0.09479398819632731,0.09491998413458343,60
14295,5,5,5.099730854577425,5.0990357615646955,0.12303416083133732,0.12394875927536847,60
14296,5,5,4.709666966778778,4.775565600326845,0.07810520288366722,0.08778864576485594,60
14297,5,5,4.961390792426945,4.999821759247815,0.10533614045643214,0.1082102310448755,60
14298,5,5,4.862440359034719,4.745108142662679,0.10381038024251747,0.1053755293351311,60
14299,5,5,4.946395142099189,4.868317123776765,0.12927163475486766,0.12741211437945968,60
14300,5,5,4.911071838320399,5.02328790963788,0.1174431030999151,0.12158534877614834,60
14301,5,5,5.129680160213129,4.936410529191804,0.14740170695268276,0.1472839602497986,60
14302,5,5,5.0751366081565985,5.0539195369984125,0.0994065637503713,0.10136943976619152,60
14303,5,5,5.002261900603681,5.044325356478139,0.09982579301518586,0.09870349186831741,60
14304,5,5,4.85975865859959,5.059983838507815,0.0972588629215539,0.09599391386418131,60
14305,5,5,5.1741338529482945,5.101266059118326,0.11058437050401886,0.11124053251595697,60
14306,5,5,5.035778689081312,4.876613144197251,0.09713246827236952,0.09855318975660637,60
14307,5,5,4.986312625817023,4.9072668646069335,0.14050993504968298,0.14167085548795866,60
14308,5,5,5.055727979982462,5.096414952177125,0.09610775478128972,0.09775140331584826,60
14309,5,5,4.889878322287957,5.3096795115600735,0.10204870868803102,0.10433611256093342,60
14310,5,5,4.819372277121743,4.903105584755039,0.11804531914966021,0.11876427813213371,60
14311,5,5,4.971886211176668,4.964552132180288,0.13448375696123727,0.1338405075827214,60
14312,5,5,4.964032698730736,4.906006571347292,0.08914766945537471,0.09057104607428565,60
14313,5,5,5.047726705393988,4.90556843759056,0.09408031034161146,0.09415160510070247,60
14314,5,5,5.1845626149499,4.97492502234011,0.13105778371761684,0.13249222854503598,60
14315,5,5,4.896186876724653,5.079797180734941,0.08562061370989674,0.08594511985643777,60
14316,5,5,4.89797342152706,4.945575464578828,0.09915088073563992,0.10006052884965198,60
14317,5,5,5.146000594000975,5.031464891810063,0.10464751997074917,0.10277365284625375,60
14318,5,5,5.1095889040039895,4.890930076978265,0.0796979876789249,0.08093894725552772,60
14319,5,5,5.094687490688192,5.0396517035356005,0.09003299526461145,0.08951276157342102,60
14320,5,5,4.891216308373391,4.957107449113402,0.09831297946562607,0.09939153120489021,60
14321,5,5,4.887606604424807,4.94002994285658,0.15831471492233312,0.15523697885011253,60
14322,5,5,4.960633645004594,4.978630459971238,0.08821258821996314,0.09249249134121207,60
14323,5,5,5.084447256706678,5.040363270350829,0.10551965030802143,0.10874330528446187,60
14324,5,5,4.769799928634375,5.089440892157268,0.10915676318052885,0.11001614622814297,60
14325,5,5,5.008418409230195,4.99475866064884,0.07645679683486423,0.07553208538692893,60
