,x values,y values,sigma,x std. from fit,y std. from fit,sigma std. from fit
71,4.8267301859599865,5.074162524240535,1.0128444980674223,0.016458582777192764,0.016464276533452935,0.011581920093776335
72,4.8347815541125,5.087235684393623,1.0018806710131927,0.014926551509141898,0.014931597275173144,0.010493791671393719
73,5.0332128701601935,5.176714972702901,1.0230469837931413,0.015949792217980242,0.015944091418555417,0.011226032006546594
74,4.891713876272411,5.13761092418637,1.0025874957203222,0.01573001132383722,0.015728061534474258,0.011053716309750675
75,4.835522067670413,4.954691455639305,1.0071670699295308,0.01649858552243589,0.016505163877795336,0.01159962291299433
76,4.900737477755325,5.136040695105145,0.9942407082748108,0.015134599082496562,0.015131972783888416,0.010623874700789147
77,5.104129440243232,4.861565437907547,1.014689336919568,0.017917465647656092,0.01791539449965887,0.012603776059654348
78,4.933658013588196,4.845330674056691,1.00344237176527,0.01530381915866058,0.015298720903101474,0.010751597229764587
79,5.009031028127518,4.823913017218909,1.0075398402988225,0.014589923749032181,0.01458282272526547,0.01025455113681195
80,5.004705841427619,4.826456052903851,1.0082170865418871,0.013756226605901716,0.013749768718778232,0.009668670294359019
81,4.949611798836235,4.811434808471398,1.0200172353397454,0.015839445272441816,0.015833015420022477,0.011149139382668564
82,5.145252653369997,4.913876281282483,1.008453198603266,0.01610631094308709,0.016109751027731614,0.011324240310484424
83,5.016385617026173,4.820962500076377,1.0249501146626658,0.016670583526514814,0.016664509648299117,0.01173476716518989
84,4.881040843657131,5.1016465053410105,1.0067801029345922,0.01665336832659425,0.016654404560611215,0.011702999330039697
85,4.943071170784844,4.837419930138542,1.0102954367745314,0.016352304268263528,0.016346596125673993,0.011496295921081227
86,5.124622006512598,5.135313944906714,1.0115685774555228,0.016118620135767623,0.016117970228323657,0.011338845591327563
87,5.020498377186896,5.184742434487701,1.0129902737695886,0.014496732043906802,0.014489832771836875,0.010196041141722186
88,5.17211262072669,5.057996587915439,1.0071704977641687,0.01659813410015512,0.016604996805011707,0.011672850169044962
89,4.987943552908557,4.8284483587244695,1.010687794757477,0.014206232800033225,0.01420001097158575,0.009986985984114674
90,4.827564842976051,5.0644777210531275,1.014108926315172,0.014978279877001056,0.014983592534445402,0.010540164640009961
91,5.135131226299832,5.137357172907167,1.0038062364398364,0.01492158345718235,0.01492143435655939,0.010492544747812674
92,5.049557980881134,4.845776927238227,1.0083106808144655,0.015149205628144174,0.015144110520175953,0.010646171541466375
93,5.113278415947759,5.149381170958598,1.0084374241466216,0.016612547491192196,0.01661014151751831,0.011683611146599195
94,4.912633106069891,4.855538044014358,1.0008986109008213,0.014890941735722757,0.014887425430743749,0.010459819984979279
95,5.0139760860999045,4.826637417927345,1.0076517379844894,0.013804450164590911,0.013797958280467005,0.009702155737664052
96,5.136989660864169,4.881902082339401,1.0024598585433109,0.01538137596002113,0.01538264421568496,0.01081145206599668
97,5.161934185732137,5.071996444343346,1.0076130253904039,0.014518945385437805,0.014523741214278723,0.01020977314277313
98,5.048024077376924,4.841155045589472,1.0037452175669914,0.014621784521666487,0.014616079361498351,0.010271642783296548
99,4.910371777272931,4.835567441553169,1.0077243370310474,0.016027882777586332,0.01602316954222313,0.01127047492406338
100,4.97351805452763,4.81535985416123,1.0035149998082367,0.0136837590680956,0.013676132299696797,0.009616212825382258
101,5.098565042970049,4.868511931342761,0.9972030392606692,0.015468489918476542,0.015466249257886625,0.010860670874868753
102,5.001347436544421,5.174307963745075,1.0006413287794544,0.01384666689562856,0.013839170825081416,0.009725020926509339
103,4.875929482331173,4.86436141614543,1.0059228112145244,0.01611422666243573,0.016113450164152266,0.01133028415443035
104,5.09737545195293,4.853279701566383,1.0097076164728542,0.01619293891689359,0.01618998601664919,0.011386189931469079
105,5.124057541285976,4.874632432203337,1.0137894712527098,0.01703028127052129,0.017030202962702978,0.011980422473062299
106,4.840877032272543,5.0737900999079235,1.0092822430301633,0.016128298217517403,0.01613319429582943,0.011342548772440822
107,5.125826140162442,5.11225698566031,1.0016377224208604,0.015357007068058101,0.015357880933622071,0.010789765708701859
108,4.844269771749233,5.101526870622965,1.0083243925750027,0.015066731133541273,0.015069953295674851,0.010597676423658808
109,5.173019311970956,5.07003001372546,1.0122223853869268,0.016730893400702603,0.0167368832838817,0.011772462644641954
110,5.152928616243262,4.944746073195716,0.9977048661194978,0.013733740672951572,0.013739049609747625,0.009644797065269736
111,5.002307783819967,4.808377851238539,1.0100391446920645,0.014470163875761161,0.014462312219440856,0.010175778791967797
112,4.966725084695677,5.1861337851693055,1.0030083818161377,0.013965102733494527,0.01395723774983439,0.009814124715643722
113,4.915617409289346,4.843605935616201,1.0062305356617396,0.015528309463715684,0.015523981878674183,0.010915211720831632
114,4.972421331943813,4.813103040954027,1.0073863360551014,0.014554555713813784,0.014546824881411615,0.010232395735500992
115,4.915135751800773,5.146588078219497,1.0007553712109338,0.015625901148737405,0.015621911038327779,0.010975935217795777
116,4.937104049930907,4.837179843456462,1.0186062444711974,0.017533644429766976,0.017528530739694296,0.012336301800817072
117,4.844971923795718,5.046496841281909,1.0065979126777418,0.01575264106931694,0.015758244590756903,0.011072199474128899
118,5.0082080758925285,5.183610877732745,1.0046245754465575,0.014179023316084748,0.01417118630904623,0.009964506223923874
119,5.069011684632341,5.167962140807206,1.0025295430696701,0.014711575558419723,0.01470568304363855,0.010337710715691194
120,4.835701628081238,4.946084958913667,0.9939990734810843,0.014097670295300473,0.014104479332063184,0.009899562460067514
121,5.018461657291488,4.813523258466648,1.0163821125164598,0.01586029852818313,0.015853056936375724,0.011158497249819554
122,4.858961626175728,4.893363051902994,0.996360489593496,0.015346302312664956,0.015348805424527554,0.010779432757593094
123,4.833528127091897,5.061705125995998,1.0064279791235582,0.015270213597439328,0.015276064934396687,0.010737127061300387
124,4.969790379964306,5.1694101544653135,1.023193592199785,0.016043454114598708,0.01603813159636517,0.011290656483463887
125,4.844734361941358,4.919147976666772,1.0127915387898723,0.017316229530304227,0.01732059602895643,0.012181344121710264
126,4.812358101165241,4.959206147514646,1.0156256924076412,0.015415966486753504,0.015422879371516969,0.010851415437782527
127,4.8640300101334315,5.114973116287099,1.0011715697315737,0.015139377286849762,0.01514077842085442,0.010639268723923519
128,4.9867059998762,5.16913474164214,1.0031845634006493,0.014331283208639582,0.014324306473819935,0.01006711022844519
