,real x,real y,x fit,y fit,x stderr,y stderr,star flux,variability percentage
0,5,5,4.994198922025256,5.005478571420169,0.004980349824668224,0.005043156620254156,1000,0.14500000000000002
1,5,5,5.013437760365137,5.001159000480888,0.004577336699986483,0.004577723022805905,1000,0.14500000000000002
2,5,5,4.99771137593522,4.9946783325038595,0.005225747837538013,0.005191542712234581,1000,0.14500000000000002
3,5,5,4.995678431950131,4.99258065459673,0.005330044351218948,0.005249752693282928,1000,0.14500000000000002
4,5,5,5.002631255183324,5.006708339926313,0.0049719327570888205,0.004981147775024718,1000,0.14500000000000002
5,5,5,5.005058661320114,5.007495957156697,0.005588187544696288,0.005632068017093816,1000,0.14500000000000002
6,5,5,4.9968341813908035,4.997581623706983,0.004911283552956333,0.004934745131981231,1000,0.14500000000000002
7,5,5,4.999726915812251,4.995454322362942,0.005087985382907446,0.005056941925984482,1000,0.14500000000000002
8,5,5,4.993533550178638,4.991333597142004,0.005148249962825737,0.005174184752293126,1000,0.14500000000000002
9,5,5,4.991150956075013,4.999510811253592,0.005423018060817149,0.0054200965443116315,1000,0.14500000000000002
10,5,5,4.99501451220225,5.0004759404303,0.005230059093203533,0.005214012667202677,1000,0.14500000000000002
11,5,5,4.996982401270448,5.003620641528008,0.005007232453439898,0.00503997901850745,1000,0.14500000000000002
12,5,5,4.9934687895098575,4.997592707911398,0.005083811272856725,0.005054661530019835,1000,0.14500000000000002
13,5,5,4.9919582967963265,5.0032137133258106,0.0052636173989036176,0.005293062966053745,1000,0.14500000000000002
14,5,5,5.014111290501388,4.998875451018118,0.005218026291539752,0.005232750042320017,1000,0.14500000000000002
15,5,5,5.000911069252005,5.003746781863368,0.005218719250061485,0.005217606146682594,1000,0.14500000000000002
16,5,5,4.989439726652916,5.004371720275309,0.005139305253473774,0.0051355016519443655,1000,0.14500000000000002
17,5,5,5.007786938116954,4.995841106576469,0.0050313544715784725,0.00505215855949145,1000,0.14500000000000002
18,5,5,5.007096264310802,5.00347118215413,0.0049646441293617226,0.00492083546098718,1000,0.14500000000000002
19,5,5,5.001312614818132,5.005376651788935,0.005182668575560433,0.005156442995342556,1000,0.14500000000000002
20,5,5,4.997376403617788,4.992771266963469,0.005103739871169521,0.005138604980471842,1000,0.14500000000000002
21,5,5,4.9983274605521055,4.996391558601543,0.00498773660335559,0.00504483199615697,1000,0.14500000000000002
22,5,5,5.010439352091142,5.002364676286057,0.005352499600535074,0.00534855091988415,1000,0.14500000000000002
23,5,5,5.0007347868821785,4.991700566191696,0.005149604941960162,0.0052106192649686075,1000,0.14500000000000002
24,5,5,4.997608560298706,5.003414874647995,0.0048058022265629425,0.004827094530537221,1000,0.14500000000000002
25,5,5,4.999962562070812,4.994066212369768,0.005228951041678259,0.00528644688454187,1000,0.14500000000000002
26,5,5,4.999206109539643,5.008518979714114,0.00558956133489842,0.005577564026193456,1000,0.14500000000000002
27,5,5,5.001842181566466,4.998955928788974,0.005170032663375856,0.005187398274609813,1000,0.14500000000000002
28,5,5,5.004254352716873,5.004865158509727,0.004985058180157991,0.004974793089775788,1000,0.14500000000000002
29,5,5,5.00114563236329,4.986615123652043,0.005056736788184757,0.004962455833099727,1000,0.14500000000000002
30,5,5,4.99278075203928,4.999671500395159,0.004638062619983152,0.004667779962846968,1000,0.14500000000000002
31,5,5,4.99758202195339,4.999133568101352,0.005255029769851195,0.005272289660638886,1000,0.14500000000000002
32,5,5,4.9986973506051555,4.993382175918804,0.0050412146367338805,0.0050553225545166705,1000,0.14500000000000002
33,5,5,4.994723107530044,4.9947067291554115,0.005173179363099698,0.005094702515797703,1000,0.14500000000000002
34,5,5,4.998792297859549,4.98465037920745,0.004827630367438662,0.004805792260299489,1000,0.14500000000000002
35,5,5,5.0018356214707875,5.006146584317479,0.005050596512014245,0.005100618692280915,1000,0.14500000000000002
36,5,5,4.9961159047231,5.002304942181703,0.005436782919469651,0.005476338018665946,1000,0.14500000000000002
37,5,5,4.988753562883743,5.003762938364488,0.005440472198161226,0.005342719000203144,1000,0.14500000000000002
38,5,5,5.011783143591163,5.001168851411402,0.004716074832803458,0.004730747740328761,1000,0.14500000000000002
39,5,5,4.998622417051338,5.003271656032271,0.004809004407878094,0.00481038487119544,1000,0.14500000000000002
40,5,5,4.995724924551994,5.007551611321715,0.005294574894899859,0.005305023725489279,1000,0.14500000000000002
41,5,5,4.9965450516033325,4.990844183080158,0.00518906744462376,0.0052155246483009355,1000,0.14500000000000002
42,5,5,4.992005113888568,4.99793633751932,0.0050550013094899275,0.005081358378497372,1000,0.14500000000000002
43,5,5,5.00294290928204,4.999232442131571,0.005329879890394653,0.005281131226992884,1000,0.14500000000000002
44,5,5,5.001541062066069,4.999964387131256,0.005267898364337123,0.005249790178465146,1000,0.14500000000000002
45,5,5,5.007365076505773,5.007362573011911,0.00515817307143554,0.005170539284970148,1000,0.14500000000000002
46,5,5,4.987103390280165,4.99888398001039,0.005463917810412338,0.00550677568609794,1000,0.14500000000000002
47,5,5,4.996901379330499,4.988398108397052,0.005261253078195691,0.005265091795704694,1000,0.14500000000000002
48,5,5,4.998315999704697,5.003246397445401,0.005027656485888779,0.005055995946232473,1000,0.14500000000000002
49,5,5,4.996676044302855,4.988364995344003,0.005115599981097296,0.005069098088321633,1000,0.14500000000000002
50,5,5,4.9923887314418005,4.997524637855243,0.005283489676033419,0.005286656080789048,1000,0.14500000000000002
51,5,5,4.990475000641734,4.989791136519767,0.005093094152030705,0.0050990896538685255,1000,0.14500000000000002
